,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
adstock_halflife[spend_search],0.7533418740804494,0.4794249288248588,0.23413874008224453,1.5903852788217478,707.9251477141579,932.0498979417748,1.013819114654175,0.017784384161790786,0.04346123853516161
adstock_halflife[spend_social],0.6772808061861902,0.33121381494149754,0.304399026469525,1.242996695428749,960.5433281981109,1304.1784301710086,1.0026498188631026,0.01078548419579108,0.019398183992579834
adstock_halflife[spend_video],2.1065473332560565,0.45037118021106387,1.4768673041241258,2.889044788378566,1858.7573478259937,2448.1730598161275,1.0019837433541265,0.010353440904254272,0.009103784925011378
adstock_halflife[spend_display],0.6752223868109933,0.7459062245366876,0.198330356544291,1.7890725610253624,1110.0944285835922,1222.7933528686574,1.0035797670880353,0.023338098328072026,0.1311705345132434
saturation_beta[spend_search],0.6572321640513831,0.4725660477823427,0.12306579819352469,1.5580627653237238,149.7603478032759,105.96670536259731,1.020258401795847,0.0317978789264473,0.0385158862253282
saturation_beta[spend_social],0.5268126523982847,0.4645646191389891,0.10649932576847572,1.4784634131057117,50.56852703938147,167.36079969948986,1.080518796703203,0.06083012045501713,0.06789318034803
saturation_beta[spend_video],0.5100692104710773,0.37057910372246894,0.14079801317322063,1.2108421237530025,143.67398716966252,318.29523004618073,1.0333675497120884,0.0289565616774914,0.03912501492912546
saturation_beta[spend_display],0.36418247284338495,0.4282565312614765,0.060119731623872595,1.2804003787018512,180.21348318744907,212.16951597949046,1.0208428891950099,0.032051312129915625,0.0519269364188415
saturation_kappa[spend_search],1.4613603683629013,0.992994670677374,0.12278327484269826,3.228332121764881,107.62587076707757,132.55354798396004,1.0459761937361103,0.06934501165761287,0.051637876808629295
saturation_kappa[spend_social],1.313891291518554,0.9255590841450898,0.15890587433263187,3.0513136028880616,708.6699391015729,1035.5774441516855,1.0098761830652847,0.03284843504288856,0.02729468273571734
saturation_kappa[spend_video],1.1001406990686209,0.8289802646424428,0.21126762884976255,2.70589714298385,137.2314780861041,357.80666619930247,1.0305243310878924,0.06875864940834576,0.060102770940291664
saturation_kappa[spend_display],1.4417438230550712,0.9787232032564991,0.19485044655464107,3.2650636888621083,591.6918025273401,940.2347733870749,1.0043536915896698,0.03954047447761006,0.029544878084147963
saturation_slope[spend_search],1.0510322256984403,0.8761686158711851,0.14142568192655777,2.7447550012577584,160.2795275434199,247.68769542748814,1.0134477688963297,0.06174122799785037,0.049390866586348246
saturation_slope[spend_social],0.4748718183326855,0.45134598652014113,0.05413949415644996,1.3157059290801851,54.449255081260745,220.97559348351098,1.0724930176085257,0.04129368642404314,0.050273571528969704
saturation_slope[spend_video],1.2627337717523386,0.29982564012971996,1.0147764649677533,1.7935620031201396,351.973702914968,636.7602693546633,1.0163847231640661,0.014869261665694062,0.02846943824205601
saturation_slope[spend_display],0.7195487062730908,0.6927344689803846,0.049456107513722446,2.089232433970466,234.94553176236465,263.00502968340425,1.0192342286811795,0.038021061641522955,0.0407670571608215
gamma_control[price_index],-0.1864666919375704,0.06177822331683192,-0.28596851717808325,-0.08953380406144484,411.2268102499674,562.858964524276,1.0039564672242764,0.003050117005624335,0.002091796905089953
gamma_control[trend],0.15646427560685167,0.010249576025739162,0.1403210015858417,0.17288372152228487,1980.531691821398,2251.7994409584853,1.0015886353176746,0.00023034582974842258,0.00016125754191349375
