,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
adstock_halflife[spend_search],0.7406862482122749,0.4336195781569577,0.23387607321167594,1.5138091885755778,2775.698065280951,3064.5612423104612,1.002368257499363,0.008124566103122167,0.012746217543160233
adstock_halflife[spend_social],0.7249549003677885,0.4103140838943984,0.28114892449965107,1.453366782336305,4271.095486867474,2902.7365950301405,0.9998750971353273,0.0071466803030132324,0.011335591145006435
adstock_halflife[spend_video],2.1202148652482395,0.425198143837794,1.51962620561854,2.8367026953816925,4363.465602959123,3415.720121191159,1.0002250044585166,0.006482109042877479,0.005528055410912754
adstock_halflife[spend_display],0.6248933635161452,0.6008818244284434,0.17773503976103674,1.5995808127772946,3745.6796990766493,2552.3056489636724,1.0028920734792524,0.011810474880953329,0.03051515946514558
saturation_lam[spend_search],2.601501288593825,1.774239180944772,0.5053051646466213,6.021564249668796,581.9734777145409,706.5333539843449,1.0053251894695967,0.07829826882656851,0.07500953296628211
saturation_lam[spend_social],3.031954750437168,1.8397811515410114,0.6255924561367925,6.382427714349263,1690.2734429071968,1412.0187443893424,1.0009945437015806,0.03976881933525054,0.03203100381898538
saturation_lam[spend_video],2.784781821938832,1.5901020205964134,0.692263745232426,5.735519330944093,956.9731543131227,1278.903717075446,1.0022080983655695,0.04719975773579209,0.033985710647221126
saturation_lam[spend_display],2.673891060923876,1.6965109664293834,0.5227662257014329,5.737330947479506,1286.8535777293573,1280.264582837641,1.002229373735981,0.041619457494499676,0.036721814610764646
saturation_beta[spend_search],0.21286516802348293,0.19564126588351677,0.07108835136123322,0.49743731572652106,885.1535587070535,780.7912035016959,1.0053859536987289,0.00805039641492659,0.034141691544119654
saturation_beta[spend_social],0.13548400447682507,0.16174225020410016,0.04569294893062999,0.3417018422333333,1595.5582099631833,1388.2233696375042,1.0015774732598004,0.004920732223373327,0.02655587615026369
saturation_beta[spend_video],0.36246756902280214,0.3145653511956891,0.13742491062741144,0.8783102344536183,1017.9308407258812,1234.256296157861,1.0024489889252626,0.010460923987064651,0.023790736847690137
saturation_beta[spend_display],0.09270880383322484,0.1082016034360096,0.02548123271010445,0.23729594705446722,1329.995142683573,1299.899117642739,1.004014461246062,0.003315709848301359,0.010967773576885796
gamma_control[price_index],-0.19231628955010302,0.06155533219002881,-0.2909337613359294,-0.09746261830665215,887.5055439026833,1349.652525434292,1.0025959780258717,0.0020650225777751148,0.0014523680075487627
gamma_control[trend],0.15746850993340616,0.010550388545163207,0.14022735593062932,0.17393721025491865,4151.700954712651,3067.356238785437,1.0005496508776017,0.00016341199893069304,0.00011764209875098503
