,param,n_params,avg_r_hat,max_r_hat,percent_bad_r_hat,row_idx_bad_r_hat,col_idx_bad_r_hat
0,alpha_m,4.0,1.0012694787016165,1.0023463002895983,0.0,[],[]
1,beta_gm,4.0,1.0026407352486464,1.0055433161411493,0.0,[],[]
2,beta_m,4.0,1.0026407352486464,1.0055433161411493,0.0,[],[]
3,contribution_m,4.0,1.003829225848874,1.0055541123756429,0.0,[],[]
4,ec_m,4.0,1.0002553945925863,1.0008417255747497,0.0,[],[]
5,gamma_c,1.0,1.0005180684958366,1.0005180684958366,0.0,[],[]
6,gamma_gc,1.0,1.0005180684958366,1.0005180684958366,0.0,[],[]
7,knot_values,13.0,1.014871805502197,1.0191333272628202,0.0,[],[]
8,mu_t,156.0,1.0162270351213283,1.0193706186085176,0.0,[],[]
9,sigma,1.0,0.9996015464148259,0.9996015464148259,0.0,[],[]
