,param,n_params,avg_r_hat,max_r_hat,percent_bad_r_hat,row_idx_bad_r_hat,col_idx_bad_r_hat
0,alpha_m,4.0,1.0016238717063815,1.0053912275416976,0.0,[],[]
1,beta_gm,4.0,1.005035191116254,1.0136620908671092,0.0,[],[]
2,beta_m,4.0,1.005035191116254,1.0136620908671092,0.0,[],[]
3,ec_m,4.0,1.000577897041529,1.0013952525876217,0.0,[],[]
4,gamma_c,1.0,0.9998329825876923,0.9998329825876923,0.0,[],[]
5,gamma_gc,1.0,0.9998329825876923,0.9998329825876923,0.0,[],[]
6,knot_values,13.0,1.0225922244429586,1.0293732828562923,0.0,[],[]
7,mu_t,156.0,1.0249422339063472,1.0295699412271382,0.0,[],[]
8,roi_m,4.0,1.0077679699233104,1.015591884739877,0.0,[],[]
9,sigma,1.0,1.0019404929647755,1.0019404929647755,0.0,[],[]
