date,geo,channel,spend,impressions,clicks
2023-01-02,Spain,display,2342.89,621925,431
2023-01-02,Spain,search,11832.53,269434,14937
2023-01-02,Spain,demand_gen,7437.26,898342,9748
2023-01-02,Spain,video,5661.19,426940,1395
2023-01-09,Spain,display,0.0,0,0
2023-01-09,Spain,search,15365.8,314203,19784
2023-01-09,Spain,demand_gen,5120.07,622231,6188
2023-01-09,Spain,video,13261.55,952388,3659
2023-01-16,Spain,display,0.0,0,0
2023-01-16,Spain,search,13061.97,308226,17931
2023-01-16,Spain,demand_gen,5161.5,673256,6708
2023-01-16,Spain,video,18158.17,1327361,5414
2023-01-23,Spain,display,3731.83,1126791,903
2023-01-23,Spain,search,9421.73,225734,11199
2023-01-23,Spain,demand_gen,11018.14,1418127,16866
2023-01-23,Spain,video,0.0,0,0
2023-01-30,Spain,display,4469.58,1234110,1046
2023-01-30,Spain,search,12748.18,242354,13933
2023-01-30,Spain,demand_gen,11555.7,1492953,17955
2023-01-30,Spain,video,0.0,0,0
2023-02-06,Spain,display,0.0,0,0
2023-02-06,Spain,search,9193.51,184088,9024
2023-02-06,Spain,demand_gen,10426.08,1348961,15838
2023-02-06,Spain,video,0.0,0,0
2023-02-13,Spain,display,4799.09,1441538,1249
2023-02-13,Spain,search,14452.78,324475,19830
2023-02-13,Spain,demand_gen,5601.04,830973,8439
2023-02-13,Spain,video,0.0,0,0
2023-02-20,Spain,display,3575.63,996637,788
2023-02-20,Spain,search,11499.48,249160,13622
2023-02-20,Spain,demand_gen,8885.61,1075169,12161
2023-02-20,Spain,video,12235.91,830446,3143
2023-02-27,Spain,display,3155.06,934995,711
2023-02-27,Spain,search,11123.69,246861,13279
2023-02-27,Spain,demand_gen,8373.47,1004658,11207
2023-02-27,Spain,video,0.0,0,0
2023-03-06,Spain,display,3601.58,975950,773
2023-03-06,Spain,search,9844.72,204340,10357
2023-03-06,Spain,demand_gen,8824.28,1033513,11671
2023-03-06,Spain,video,14520.16,1168915,4570
2023-03-13,Spain,display,1938.73,538066,352
2023-03-13,Spain,search,15730.62,375048,23887
2023-03-13,Spain,demand_gen,12342.79,1620782,19794
2023-03-13,Spain,video,7321.13,487942,1675
2023-03-20,Spain,display,0.0,0,0
2023-03-20,Spain,search,11207.08,265035,14309
2023-03-20,Spain,demand_gen,8846.57,1210345,13676
2023-03-20,Spain,video,8009.98,618222,2158
