date,geo,channel,spend,impressions,clicks
2023-01-02,ES,meta,1129.84,141040,
2023-01-03,ES,meta,1345.12,167915,
2023-01-04,ES,meta,1051.22,131226,
2023-01-05,ES,meta,989.71,123547,
2023-01-06,ES,meta,1412.14,176281,
2023-01-07,ES,meta,1024.63,127907,
2023-01-08,ES,meta,1205.57,150494,
2023-01-09,ES,meta,1957.28,228520,
2023-01-10,ES,meta,2383.44,278277,
2023-01-11,ES,meta,1555.56,181618,
2023-01-12,ES,meta,2703.58,315654,
2023-01-13,ES,meta,1397.88,163209,
2023-01-14,ES,meta,2087.96,243778,
2023-01-15,ES,meta,1991.87,232558,
2023-01-16,ES,meta,2804.84,376159,
2023-01-17,ES,meta,1021.44,136986,
2023-01-18,ES,meta,1636.75,219505,
2023-01-19,ES,meta,1216.83,163190,
2023-01-20,ES,meta,883.8,118527,
2023-01-21,ES,meta,1718.64,230488,
2023-01-22,ES,meta,746.12,100062,
2023-01-23,ES,meta,542.63,72183,
2023-01-24,ES,meta,763.96,101625,
2023-01-25,ES,meta,1027.92,136739,
2023-01-26,ES,meta,955.6,127118,
2023-01-27,ES,meta,819.71,109042,
2023-01-28,ES,meta,366.96,48815,
2023-01-29,ES,meta,593.17,78907,
